Candidate_Location,Distance_From_Job_Location (km),Cost_of_Living_Area,Current_Role,Seniority_Level,Experience_Years,Current_Salary (INR),Expected_Salary (INR),Education_Qualification,Relevant_Skills,Certifications,Notice_Period (Days),Planned_Leaves,Shift_Preference,Service_Bond_Acceptance,Work_Mode_Preference,Current_Company_Name,Current_Company_Industry,Current_Company_Brand_Perception,Job_Hopping_History (Years),Technology_Fit,Offered_Salary (INR),Salary_Difference (INR),Salary_Competitiveness,Offered_Position_Level,Offered_Job_Role,Job_Location,Relocation_Required,Benefits_Package,Career_Growth_Opportunities,Job_Security,Offer_Company_Brand_Value,Offer_Validity_Date,Offer_Letter_Clarity,LinkedIn_Activity_Level,GitHub_Activity_Level,Sentiment_Towards_Current_Employer,Sentiment_Towards_Industry_Trends,Professional_Network,Competitor_Engagement,Response_Time_To_Outreach (Days),Response_Time_To_Interview_Request (Days),Interview_Experience_Satisfaction (1-5),Skill_Fit_With_Role (%),Engagement_Level (1-5),Economic_Conditions,Competing_Offers_Count,Highest_Competing_Offer_Salary (INR),Competing_Offer_Benefits,Competing_Offer_Role_Comparison,Industry_Job_Switching_Rates,Number_Of_Touchpoints,Recruiter_Engagement_Level,Interview_Performance_Score (1-5),Competing_Offer_Employer_Name,Competing_Offer_Role,Competing_Offer_Salary (INR),Competing_Offer_Career_Growth,Competing_Offer_Location,Competing_Offer_Work_Mode,Competing_Offer_Deadline,Candidate_Preference_Between_Offers,Negotiation_Willingness (1-5),Key_Decision_Factors,Work_Life_Balance_Programs,Recognition_And_Reward_Systems,Training_Programs_For_Freshers,Employee_Engagement_Activities,Workplace_Environment_Feedback,Expected Joining Score (1-1000)
Haldia,1,Low,Software Engineer,Mid-Level,15,502217,1925811,Master's Degree,"Data Analysis, Excel",AWS Certified,54,5,Night,No,Hybrid,Wipro,Consulting,Neutral,4,High,3476630,403676,Average,Entry-Level,Team Lead,Howrah,Yes,Flexible Hours,Good,Permanent,Weak,2024-12-15,Ambiguous,Moderate,High,Neutral,Neutral,937,High,10,7,1,96,1,Volatile,0,3497557,Flexible Hours,Worse,15,1,5,3,None,None,3910618,Moderate,Ambattur,Offline,2024-11-25,Offer 2,1,Growth,No,Yes,Not Available,Rare,Neutral,985
Bokaro,32,Low,Software Engineer,Senior-Level,5,1074550,1906783,Diploma,"Java, Spring Boot",None,49,4,Night,Yes,Hybrid,TCS,Consulting,Positive,6,High,1152451,744614,Average,Senior-Level,Developer,Mango,Yes,Transport Allowance,Limited,Contract,Weak,2024-11-30,Clear,Moderate,Low,Neutral,Neutral,137,Moderate,8,2,3,75,3,Stable,4,1349056,Stock Options,Better,28,1,4,2,Amazon,Software Engineer,1623760,Limited,Eluru,Remote,2024-11-22,Offer 2,2,Work Environment,No,Yes,Not Available,Rare,Positive,543
Aurangabad,45,High,Analyst,Senior-Level,1,2368954,1645257,Bachelor's Degree,"Python, SQL, ML",PMP,61,4,Flexible,No,Offline,Cognizant,IT Services,Positive,4,High,2188964,457103,Above Average,Entry-Level,Developer,Ambala,Yes,Transport Allowance,Limited,Permanent,Weak,2024-11-24,Ambiguous,Moderate,None,Neutral,Negative,956,High,2,10,4,65,3,Volatile,4,3245549,Flexible Hours,Similar,26,10,3,5,Microsoft,Software Engineer,1138887,Excellent,Satna,Remote,2024-11-30,Offer 2,1,Salary,No,No,Not Available,Frequent,Negative,798
Srikakulam,17,Low,Consultant,Entry-Level,2,2039330,2997428,Diploma,"Python, SQL, ML",None,35,5,Night,Yes,Hybrid,Wipro,Consulting,Positive,7,Medium,1066964,635783,Average,Mid-Level,Architect,Gulbarga,No,Flexible Hours,Good,Contract,Weak,2024-12-04,Ambiguous,Low,Low,Positive,Neutral,332,Low,2,1,1,98,5,Stable,0,1479899,Flexible Hours,Worse,38,10,4,2,Google,Software Engineer,1956164,Moderate,Avadi,Offline,2024-11-29,Offer 1,5,Salary,No,No,Available,Rare,Positive,710
Imphal,5,Medium,Consultant,Mid-Level,7,1700609,655799,Master's Degree,"Java, Spring Boot",Scrum Master,74,0,Night,No,Remote,HCL,Banking,Neutral,1,Low,1967649,708096,Below Average,Entry-Level,Developer,Ambattur,No,Flexible Hours,Limited,Contract,Weak,2024-12-19,Ambiguous,Low,High,Negative,Neutral,435,High,8,2,2,77,5,Volatile,2,3699037,Flexible Hours,Worse,32,7,1,5,Amazon,Software Engineer,1563440,Limited,Durg,Remote,2024-11-21,Offer 1,1,Work Environment,No,Yes,Not Available,Frequent,Negative,748
Bharatpur,6,Medium,Project Manager,Mid-Level,20,1439841,1230726,Bachelor's Degree,"Java, Spring Boot",PMP,48,1,Day,No,Offline,Infosys,Banking,Neutral,1,Medium,800909,589094,Below Average,Entry-Level,Architect,Naihati,No,Flexible Hours,Good,Permanent,Strong,2024-11-29,Clear,Moderate,None,Neutral,Positive,774,High,7,3,2,54,1,Volatile,4,2311722,Health Insurance,Similar,11,9,3,3,Amazon,Software Engineer,915442,Moderate,Sonipat,Remote,2024-11-25,Offer 2,5,Growth,No,Yes,Not Available,Occasional,Positive,664
Kakinada,47,Medium,Consultant,Entry-Level,5,397206,624262,Bachelor's Degree,"Data Analysis, Excel",Scrum Master,43,1,Flexible,Yes,Hybrid,Infosys,IT Services,Negative,1,Low,2874958,663631,Average,Senior-Level,Team Lead,Silchar,No,Transport Allowance,Good,Permanent,Strong,2024-12-12,Clear,Low,High,Negative,Neutral,683,Moderate,7,7,3,63,5,Stable,3,3587053,Health Insurance,Worse,22,9,3,1,None,Software Engineer,2592786,Excellent,Solapur,Remote,2024-11-29,Offer 1,1,Work Environment,Yes,Yes,Not Available,Occasional,Positive,653
Bikaner,8,Medium,Consultant,Entry-Level,4,2406072,2126406,Bachelor's Degree,"Data Analysis, Excel",None,83,5,Night,No,Remote,HCL,Banking,Positive,3,Medium,579702,360483,Below Average,Senior-Level,Architect,Malda,Yes,Health Insurance,Good,Contract,Strong,2024-12-03,Clear,Low,High,Positive,Neutral,662,Moderate,8,8,2,72,4,Stable,3,3902584,Health Insurance,Better,12,6,2,1,None,None,837887,Excellent,Nangloi Jat,Hybrid,2024-11-25,Offer 2,3,Work Environment,Yes,No,Available,Occasional,Neutral,860
Katihar,2,Medium,Consultant,Entry-Level,14,1041575,2691506,Diploma,"Python, SQL, ML",AWS Certified,49,2,Day,Yes,Hybrid,Infosys,IT Services,Neutral,4,Medium,3251161,152276,Below Average,Mid-Level,Developer,Chennai,Yes,Transport Allowance,Good,Contract,Strong,2024-12-18,Ambiguous,High,None,Neutral,Neutral,596,High,8,3,3,97,4,Stable,2,3073351,Stock Options,Similar,14,6,2,2,None,None,3507675,Excellent,Gwalior,Remote,2024-12-02,Offer 2,1,Salary,No,No,Available,Rare,Positive,824
Pimpri-Chinchwad,23,Medium,Consultant,Senior-Level,8,1081113,1295626,Bachelor's Degree,"Java, Spring Boot",PMP,48,3,Day,No,Hybrid,Cognizant,Banking,Negative,7,High,2248083,639676,Below Average,Mid-Level,Team Lead,Uluberia,Yes,Health Insurance,Excellent,Permanent,Moderate,2024-12-06,Clear,Moderate,Moderate,Neutral,Neutral,765,Moderate,4,1,1,53,4,Volatile,0,3247218,Stock Options,Better,29,8,2,4,Amazon,Software Engineer,2174565,Excellent,Allahabad,Offline,2024-11-27,Offer 1,4,Growth,No,Yes,Available,Rare,Negative,769
Thoothukudi,36,Low,Software Engineer,Mid-Level,15,1517079,2295728,Diploma,"AWS, DevOps",AWS Certified,30,0,Day,No,Remote,Infosys,Consulting,Positive,6,Low,2258444,819118,Average,Senior-Level,Developer,Tiruppur,Yes,Transport Allowance,Limited,Permanent,Weak,2024-12-14,Ambiguous,Low,High,Negative,Neutral,404,Moderate,1,3,5,51,4,Stable,0,2768757,Flexible Hours,Similar,38,7,5,1,Amazon,Data Scientist,3587942,Excellent,Bangalore,Remote,2024-11-26,Offer 2,3,Salary,No,Yes,Available,Rare,Neutral,740
Asansol,16,Low,Project Manager,Mid-Level,13,2017266,1022248,Bachelor's Degree,"AWS, DevOps",None,74,2,Night,Yes,Remote,Wipro,Banking,Positive,4,High,1835881,389358,Above Average,Mid-Level,Architect,Tezpur,No,Flexible Hours,Excellent,Permanent,Weak,2024-12-13,Clear,Moderate,Low,Positive,Neutral,78,High,10,3,4,75,2,Volatile,1,1562269,Stock Options,Similar,35,7,3,4,None,Software Engineer,2945131,Moderate,Erode,Offline,2024-11-24,Offer 1,4,Growth,No,Yes,Not Available,Frequent,Neutral,924
Thane,18,High,Project Manager,Entry-Level,14,1993149,607129,Master's Degree,"AWS, DevOps",None,24,5,Flexible,No,Offline,TCS,Consulting,Negative,2,High,1061889,519338,Above Average,Mid-Level,Architect,Satara,No,Flexible Hours,Excellent,Contract,Weak,2024-12-09,Clear,Low,Low,Positive,Neutral,141,High,2,10,1,53,5,Stable,5,3671271,Stock Options,Better,48,5,3,2,Google,Data Scientist,2938240,Limited,Panchkula,Remote,2024-12-03,Offer 1,5,Growth,Yes,No,Available,Frequent,Neutral,954
Mathura,21,High,Software Engineer,Senior-Level,18,1175707,1242812,Master's Degree,"AWS, DevOps",None,36,0,Day,Yes,Offline,Wipro,IT Services,Positive,7,Low,2571967,630836,Average,Mid-Level,Developer,Kollam,No,Health Insurance,Excellent,Permanent,Weak,2024-11-26,Ambiguous,High,High,Positive,Positive,424,Low,2,8,3,51,3,Stable,2,3923620,Flexible Hours,Better,32,9,3,5,Google,Data Scientist,939315,Limited,Thanjavur,Offline,2024-12-03,Offer 1,5,Growth,No,No,Available,Frequent,Neutral,919
Tadepalligudem,38,Medium,Software Engineer,Senior-Level,7,1983865,1073370,Diploma,"Python, SQL, ML",Scrum Master,72,2,Day,No,Offline,Infosys,Banking,Positive,7,Medium,1811150,789828,Above Average,Entry-Level,Team Lead,Delhi,No,Health Insurance,Excellent,Permanent,Weak,2024-11-24,Clear,Low,None,Neutral,Negative,436,High,1,9,4,66,4,Volatile,1,3521233,Stock Options,Better,47,2,4,2,None,Software Engineer,3297261,Moderate,Gandhidham,Offline,2024-12-04,Offer 2,1,Growth,No,No,Available,Occasional,Negative,635
Allahabad,41,Low,Analyst,Mid-Level,4,1612145,853616,Diploma,"AWS, DevOps",None,59,1,Flexible,No,Hybrid,Infosys,Consulting,Positive,7,Medium,1982696,705983,Below Average,Entry-Level,Architect,Ajmer,No,Flexible Hours,Good,Permanent,Strong,2024-12-05,Ambiguous,High,High,Neutral,Positive,830,Low,9,5,4,50,2,Volatile,3,3552580,Health Insurance,Worse,48,4,3,5,Google,Data Scientist,2632275,Excellent,Bilaspur,Offline,2024-11-21,Offer 1,3,Salary,Yes,No,Not Available,Frequent,Positive,626
Vijayanagaram,16,High,Software Engineer,Entry-Level,10,2486997,1179345,Bachelor's Degree,"AWS, DevOps",Scrum Master,64,2,Day,Yes,Hybrid,TCS,IT Services,Negative,2,Medium,2471439,609656,Above Average,Entry-Level,Architect,Ramgarh,Yes,Flexible Hours,Good,Contract,Strong,2024-12-16,Ambiguous,Moderate,Moderate,Positive,Positive,882,High,6,6,3,69,5,Stable,1,2222534,Stock Options,Similar,36,7,2,3,None,Data Scientist,1392559,Excellent,Vijayanagaram,Offline,2024-12-02,Offer 2,4,Growth,Yes,No,Available,Frequent,Positive,637
Nizamabad,25,Medium,Software Engineer,Mid-Level,16,2142549,2539431,Bachelor's Degree,"AWS, DevOps",Scrum Master,49,3,Flexible,Yes,Hybrid,Infosys,IT Services,Positive,10,Low,2341784,780511,Above Average,Entry-Level,Developer,Chapra,Yes,Flexible Hours,Limited,Contract,Moderate,2024-12-18,Clear,Low,High,Negative,Negative,976,High,1,6,2,71,5,Stable,4,1520692,Flexible Hours,Worse,12,1,1,3,Microsoft,None,1401103,Moderate,Kavali,Hybrid,2024-11-27,Offer 1,2,Salary,Yes,No,Not Available,Rare,Negative,655
Raurkela Industrial Township,48,High,Software Engineer,Entry-Level,9,808586,1085771,Diploma,"Data Analysis, Excel",None,61,1,Day,No,Offline,HCL,IT Services,Negative,8,Medium,893384,875351,Average,Mid-Level,Team Lead,Berhampore,No,Flexible Hours,Limited,Contract,Weak,2024-12-04,Clear,Moderate,Low,Neutral,Neutral,854,Low,6,5,3,68,4,Stable,4,1049133,Stock Options,Worse,17,3,1,1,Google,Data Scientist,3054867,Moderate,Bhagalpur,Hybrid,2024-12-03,Offer 1,2,Growth,Yes,Yes,Not Available,Frequent,Neutral,770
Singrauli,34,Low,Analyst,Mid-Level,5,1595234,825541,Bachelor's Degree,"Data Analysis, Excel",AWS Certified,71,1,Day,Yes,Hybrid,Wipro,Banking,Negative,8,Medium,3211241,851966,Below Average,Senior-Level,Architect,Tiruvottiyur,Yes,Health Insurance,Limited,Contract,Strong,2024-12-19,Clear,Moderate,None,Negative,Positive,283,High,2,7,2,51,5,Volatile,5,1617366,Health Insurance,Better,42,1,3,2,None,Software Engineer,3759935,Limited,Ambala,Hybrid,2024-11-28,Offer 2,2,Growth,Yes,Yes,Not Available,Occasional,Neutral,882
Akola,24,Low,Consultant,Entry-Level,3,1002294,2488504,Master's Degree,"Java, Spring Boot",AWS Certified,41,4,Day,Yes,Remote,Wipro,Banking,Neutral,8,Medium,2190184,793334,Average,Entry-Level,Architect,Munger,Yes,Flexible Hours,Excellent,Permanent,Weak,2024-12-08,Ambiguous,Moderate,None,Neutral,Positive,284,Moderate,8,2,5,81,4,Stable,3,920546,Flexible Hours,Worse,43,6,2,3,Amazon,None,2821453,Excellent,Sangli-Miraj & Kupwad,Offline,2024-12-03,Offer 2,1,Salary,Yes,No,Not Available,Occasional,Neutral,572
Panihati,44,Medium,Consultant,Mid-Level,14,2256913,873991,Diploma,"AWS, DevOps",Scrum Master,83,0,Flexible,No,Hybrid,TCS,Consulting,Negative,1,Medium,2565153,803714,Average,Mid-Level,Architect,Asansol,No,Health Insurance,Excellent,Contract,Weak,2024-12-06,Ambiguous,High,Moderate,Neutral,Neutral,828,High,3,5,2,76,2,Volatile,5,2830601,Stock Options,Worse,39,1,5,1,Google,Data Scientist,731877,Excellent,Mumbai,Offline,2024-12-04,Offer 2,2,Growth,Yes,Yes,Not Available,Frequent,Positive,666
Proddatur,13,Medium,Project Manager,Entry-Level,16,2385604,1032277,Master's Degree,"Java, Spring Boot",PMP,87,5,Day,Yes,Remote,Wipro,Consulting,Negative,9,Low,2504979,665479,Below Average,Mid-Level,Developer,Junagadh,No,Flexible Hours,Excellent,Permanent,Strong,2024-11-26,Ambiguous,Moderate,None,Positive,Positive,385,High,5,5,1,79,2,Volatile,2,1674788,Flexible Hours,Similar,29,10,3,1,Google,None,3243281,Moderate,Bidhannagar,Hybrid,2024-11-23,Offer 2,4,Growth,Yes,Yes,Not Available,Rare,Positive,721
Ramagundam,14,Low,Software Engineer,Senior-Level,9,343342,2693652,Diploma,"AWS, DevOps",PMP,27,5,Night,No,Offline,TCS,IT Services,Neutral,10,Medium,3185412,332008,Below Average,Mid-Level,Developer,Jorhat,No,Transport Allowance,Good,Contract,Strong,2024-12-09,Ambiguous,High,None,Negative,Neutral,993,Moderate,9,6,1,100,4,Stable,1,1819383,Flexible Hours,Worse,10,9,3,4,Microsoft,Data Scientist,1293354,Moderate,Shivpuri,Remote,2024-12-02,Offer 1,5,Growth,Yes,Yes,Available,Rare,Negative,664
Siwan,18,High,Consultant,Entry-Level,7,1319717,530416,Master's Degree,"Data Analysis, Excel",None,86,5,Night,No,Offline,Wipro,IT Services,Negative,8,Medium,2744695,198673,Average,Entry-Level,Developer,Muzaffarnagar,No,Transport Allowance,Limited,Permanent,Moderate,2024-12-13,Ambiguous,High,None,Positive,Neutral,504,High,8,6,1,59,1,Volatile,4,1348959,Health Insurance,Similar,35,6,2,2,Google,Software Engineer,1203109,Excellent,Katihar,Hybrid,2024-12-01,Offer 2,1,Work Environment,Yes,No,Not Available,Occasional,Neutral,572
Ludhiana,29,Medium,Consultant,Entry-Level,10,1895112,953780,Master's Degree,"AWS, DevOps",PMP,50,5,Day,Yes,Offline,Wipro,IT Services,Neutral,5,Low,3409082,493860,Below Average,Mid-Level,Team Lead,Kollam,No,Transport Allowance,Excellent,Contract,Moderate,2024-12-09,Clear,Low,Moderate,Positive,Positive,661,Moderate,6,5,5,51,2,Stable,3,3859244,Flexible Hours,Similar,45,1,2,2,Amazon,Software Engineer,1643664,Limited,Kochi,Offline,2024-11-27,Offer 1,2,Salary,No,No,Available,Frequent,Neutral,657
Mango,21,Medium,Consultant,Mid-Level,4,2425981,956464,Bachelor's Degree,"AWS, DevOps",PMP,56,2,Day,No,Remote,HCL,IT Services,Neutral,2,Medium,1266219,304569,Below Average,Entry-Level,Team Lead,Tadipatri,No,Transport Allowance,Excellent,Contract,Weak,2024-12-09,Ambiguous,High,Low,Negative,Negative,632,Low,6,4,3,51,4,Volatile,5,1195609,Health Insurance,Similar,48,4,1,5,Google,Data Scientist,2933977,Excellent,Gangtok,Hybrid,2024-11-25,Offer 2,4,Growth,No,Yes,Available,Occasional,Negative,588
Varanasi,1,Low,Software Engineer,Senior-Level,18,1112912,2491441,Bachelor's Degree,"Python, SQL, ML",PMP,30,4,Night,Yes,Offline,Infosys,IT Services,Neutral,2,High,2533207,327123,Below Average,Mid-Level,Team Lead,Parbhani,No,Flexible Hours,Excellent,Permanent,Weak,2024-11-24,Clear,Moderate,Low,Neutral,Positive,790,High,3,1,5,71,1,Volatile,3,3748402,Flexible Hours,Worse,27,10,2,5,None,Data Scientist,2113841,Limited,Thrissur,Offline,2024-11-24,Offer 1,5,Growth,No,No,Not Available,Frequent,Positive,621
Ranchi,43,Low,Analyst,Senior-Level,19,1345899,2724816,Diploma,"Java, Spring Boot",PMP,68,0,Flexible,Yes,Remote,TCS,Banking,Negative,5,High,2062231,536483,Above Average,Mid-Level,Developer,Satna,Yes,Flexible Hours,Excellent,Permanent,Strong,2024-11-28,Clear,Low,Moderate,Negative,Neutral,363,Moderate,9,8,1,92,5,Volatile,2,3238393,Health Insurance,Worse,23,4,3,3,Amazon,Data Scientist,689898,Moderate,Hindupur,Remote,2024-12-01,Offer 2,4,Work Environment,No,Yes,Not Available,Frequent,Negative,544
Bidar,28,Low,Consultant,Mid-Level,15,781450,1103960,Bachelor's Degree,"Data Analysis, Excel",AWS Certified,18,0,Day,No,Hybrid,HCL,Banking,Neutral,9,Low,1984634,407751,Below Average,Senior-Level,Team Lead,Khora ,No,Transport Allowance,Good,Permanent,Strong,2024-11-29,Ambiguous,Moderate,Low,Neutral,Negative,732,Moderate,3,6,5,88,2,Volatile,1,2313089,Health Insurance,Worse,25,6,5,4,Amazon,Software Engineer,1974619,Limited,Singrauli,Hybrid,2024-11-28,Offer 2,1,Growth,Yes,Yes,Available,Frequent,Negative,639
Anand,16,Medium,Analyst,Senior-Level,13,1532118,1675015,Master's Degree,"Data Analysis, Excel",Scrum Master,25,5,Day,Yes,Hybrid,Infosys,IT Services,Negative,5,Low,2376395,655432,Average,Senior-Level,Team Lead,Meerut,Yes,Health Insurance,Good,Contract,Moderate,2024-11-26,Clear,High,High,Positive,Positive,937,Low,3,9,2,64,4,Stable,1,2991519,Stock Options,Better,31,5,1,1,Amazon,Software Engineer,3061217,Excellent,Jodhpur,Hybrid,2024-12-04,Offer 2,2,Work Environment,No,Yes,Available,Frequent,Negative,535
Dhule,19,Medium,Project Manager,Entry-Level,9,1428085,2098052,Diploma,"Data Analysis, Excel",None,70,0,Day,No,Hybrid,Cognizant,IT Services,Negative,10,High,2371960,351521,Below Average,Entry-Level,Developer,Pimpri-Chinchwad,Yes,Flexible Hours,Excellent,Contract,Strong,2024-11-21,Ambiguous,Moderate,Moderate,Neutral,Negative,536,High,10,1,4,100,4,Volatile,4,735737,Health Insurance,Worse,14,2,1,4,Amazon,Data Scientist,3455028,Excellent,Dhule,Hybrid,2024-11-28,Offer 1,5,Growth,Yes,Yes,Not Available,Occasional,Neutral,688
Amroha,21,High,Analyst,Mid-Level,3,2368874,1418152,Master's Degree,"Python, SQL, ML",PMP,76,4,Night,Yes,Remote,HCL,Banking,Positive,2,Medium,695799,390119,Below Average,Senior-Level,Developer,Indore,Yes,Flexible Hours,Limited,Contract,Moderate,2024-12-03,Ambiguous,Low,Moderate,Neutral,Neutral,116,Moderate,4,10,5,97,1,Stable,1,3024737,Flexible Hours,Worse,34,7,2,4,None,None,3373814,Moderate,Bhatpara,Hybrid,2024-11-27,Offer 1,2,Work Environment,No,Yes,Not Available,Frequent,Positive,768
