Candidate_Location,Distance_From_Job_Location (km),Cost_of_Living_Area,Current_Role,Seniority_Level,Experience_Years,Current_Salary (INR),Expected_Salary (INR),Education_Qualification,Relevant_Skills,Certifications,Notice_Period (Days),Planned_Leaves,Shift_Preference,Service_Bond_Acceptance,Work_Mode_Preference,Current_Company_Name,Current_Company_Industry,Current_Company_Brand_Perception,Job_Hopping_History (Years),Technology_Fit,Offered_Salary (INR),Salary_Difference (INR),Salary_Competitiveness,Offered_Position_Level,Offered_Job_Role,Job_Location,Relocation_Required,Benefits_Package,Career_Growth_Opportunities,Job_Security,Offer_Company_Brand_Value,Offer_Validity_Date,Offer_Letter_Clarity,Expected_Joining_Score
Madanapalle,27,Low,Consultant,Senior-Level,13,633354,1250374,Bachelor's Degree,"Python, SQL, ML",Scrum Master,45,6,Day,No,Hybrid,HCL,Healthcare,Neutral,8,High,400525,430045,Below Average,Senior-Level,Team Lead,Hyderabad,No,Health Insurance,Excellent,Stable,Low,2024-12-10 17:53:29.688940,Clear,590.3508333333334
Pune,38,High,Data Scientist,Mid-Level,8,1868097,677382,Diploma,"C++, Algorithms",PMP,35,1,Day,No,Hybrid,Cognizant,Healthcare,Negative,1,Moderate,2615633,124886,Above Average,Lead,Manager,Pune,Yes,Stock Options,Excellent,Weak,Low,2025-01-14 17:53:29.688940,Ambiguous,726.1877666666667
Hyderabad,17,Medium,Data Scientist,Entry-Level,10,977632,555879,PhD,"AWS, Docker, Kubernetes",PMP,20,13,Flexible,No,Offline,Cognizant,IT Services,Neutral,2,High,2103585,282705,Above Average,Lead,Data Analyst,Mumbai,Yes,Flexible Hours,Moderate,Weak,High,2025-01-05 17:53:29.688940,Clear,881.1195
Kolkata,47,Low,Consultant,Lead,14,1239220,411204,PhD,"AWS, Docker, Kubernetes",AWS Certified,48,5,Flexible,Yes,Remote,Infosys,Healthcare,Negative,7,High,1148912,381047,Above Average,Mid-Level,Manager,Madanapalle,No,Health Insurance,Moderate,Weak,Moderate,2025-01-10 17:53:29.688940,Clear,1000.0
Madanapalle,33,Low,Project Manager,Entry-Level,13,1699996,1814540,PhD,"C++, Algorithms",PMP,33,13,Flexible,Yes,Offline,Cognizant,IT Services,Positive,2,Low,2277839,154778,Above Average,Entry-Level,Data Analyst,Madanapalle,No,Flexible Hours,Excellent,Stable,Low,2024-12-11 17:53:29.688940,Clear,810.9279666666666
Pune,40,Low,Software Engineer,Senior-Level,11,1175138,2139633,Diploma,"JavaScript, React",Google Cloud Certified,86,8,Day,No,Hybrid,TCS,Banking,Neutral,2,Low,946138,139520,Below Average,Mid-Level,Developer,Madanapalle,Yes,Flexible Hours,Limited,Weak,High,2024-12-14 17:53:29.688940,Clear,812.5379333333333
Darbhanga,26,Low,Analyst,Senior-Level,9,466234,686441,Bachelor's Degree,"Java, Spring Boot",Scrum Master,33,9,Flexible,No,Remote,Accenture,Healthcare,Positive,5,Moderate,1615487,288985,Below Average,Lead,Manager,Bangalore,Yes,Health Insurance,Limited,Strong,High,2024-12-28 17:53:29.688940,Ambiguous,782.8495666666666
Mumbai,40,Low,Data Scientist,Entry-Level,3,1946470,2170187,Diploma,"Java, Spring Boot",AWS Certified,39,4,Day,Yes,Hybrid,TCS,Consulting,Positive,5,Low,1268498,455926,Above Average,Lead,Data Analyst,Madanapalle,No,Flexible Hours,Limited,Strong,High,2025-01-20 17:53:29.688940,Ambiguous,716.2832666666667
Chennai,13,Medium,Project Manager,Entry-Level,8,1771264,1130429,Diploma,"C++, Algorithms",PMP,6,3,Night,No,Offline,Infosys,Retail,Positive,6,High,951357,101013,Above Average,Lead,Developer,Darbhanga,No,Health Insurance,Moderate,Stable,Low,2024-12-17 17:53:29.688940,Clear,788.7119
Kolkata,43,High,Project Manager,Lead,12,1538152,1488871,Diploma,"Java, Spring Boot",Google Cloud Certified,89,13,Night,Yes,Offline,Cognizant,Consulting,Positive,9,Low,2975983,185240,Below Average,Entry-Level,Data Analyst,Madanapalle,Yes,Health Insurance,Moderate,Weak,High,2025-01-08 17:53:29.688940,Clear,920.1994333333333
Darbhanga,23,Medium,Analyst,Lead,3,944125,806637,Master's Degree,"Python, SQL, ML",Google Cloud Certified,51,8,Day,Yes,Hybrid,Infosys,Consulting,Positive,3,Low,2357576,481192,Above Average,Senior-Level,Manager,Mumbai,No,Health Insurance,Excellent,Strong,Low,2025-01-01 17:53:29.688940,Ambiguous,721.5858666666667
Bangalore,42,Medium,Analyst,Mid-Level,2,1535089,2066096,Bachelor's Degree,"Java, Spring Boot",None,48,5,Day,Yes,Offline,TCS,Retail,Negative,4,High,1894299,394644,Below Average,Senior-Level,Manager,Delhi,No,Stock Options,Moderate,Strong,Low,2024-12-20 17:53:29.688940,Ambiguous,928.1433
Darbhanga,10,Low,Project Manager,Mid-Level,5,1719063,1208008,Bachelor's Degree,"AWS, Docker, Kubernetes",None,80,11,Flexible,Yes,Offline,TCS,IT Services,Negative,9,High,1679823,189716,Below Average,Lead,Data Analyst,Chennai,No,Stock Options,Excellent,Weak,High,2024-12-28 17:53:29.688940,Clear,981.9941
Mumbai,19,Medium,Analyst,Lead,14,361401,652787,PhD,"C++, Algorithms",Scrum Master,88,14,Day,No,Hybrid,TCS,Healthcare,Positive,2,Low,2215884,186437,Below Average,Mid-Level,Data Analyst,Kolkata,No,Flexible Hours,Limited,Weak,Moderate,2024-12-26 17:53:29.688940,Ambiguous,950.8628
Bangalore,24,Low,Project Manager,Mid-Level,4,1669555,2106076,PhD,"Python, SQL, ML",AWS Certified,36,3,Day,No,Remote,Accenture,Consulting,Positive,1,Low,2644000,431314,Average,Senior-Level,Data Analyst,Delhi,No,Health Insurance,Excellent,Strong,Moderate,2024-12-15 17:53:29.688940,Clear,1000.0
Kolkata,13,Medium,Analyst,Mid-Level,13,619080,459016,Master's Degree,"Java, Spring Boot",PMP,61,14,Night,No,Remote,TCS,Healthcare,Neutral,2,Low,2873346,176155,Below Average,Lead,Team Lead,Mumbai,No,Health Insurance,Moderate,Strong,Low,2025-01-25 17:53:29.688940,Clear,775.7782
Mumbai,36,Low,Analyst,Entry-Level,5,462590,1358882,Diploma,"AWS, Docker, Kubernetes",PMP,14,0,Flexible,No,Remote,TCS,Retail,Positive,2,High,1526094,43669,Above Average,Entry-Level,Data Analyst,Kolkata,Yes,Health Insurance,Limited,Strong,Moderate,2025-01-16 17:53:29.688940,Clear,441.8698
Munger,8,Low,Project Manager,Lead,6,1564583,1893542,PhD,"JavaScript, React",Google Cloud Certified,1,8,Flexible,Yes,Hybrid,Cognizant,Retail,Negative,1,High,2047119,66052,Average,Lead,Developer,Pune,Yes,Stock Options,Moderate,Strong,Moderate,2025-01-26 17:53:29.688940,Ambiguous,1000.0
Chennai,22,Medium,Consultant,Entry-Level,3,485534,523505,Bachelor's Degree,"Java, Spring Boot",PMP,10,9,Day,No,Hybrid,Accenture,Healthcare,Negative,0,Low,965374,63449,Above Average,Lead,Manager,Darbhanga,Yes,Health Insurance,Limited,Weak,High,2024-12-27 17:53:29.688940,Clear,777.1791333333333
Kolkata,9,Medium,Project Manager,Entry-Level,1,1213878,721366,PhD,"AWS, Docker, Kubernetes",Scrum Master,16,2,Flexible,No,Offline,Cognizant,Healthcare,Negative,2,Moderate,2945949,395383,Below Average,Mid-Level,Team Lead,Munger,Yes,Flexible Hours,Moderate,Stable,Moderate,2024-12-15 17:53:29.688940,Clear,312.1983
Munger,24,High,Software Engineer,Mid-Level,4,1739064,418328,Diploma,"AWS, Docker, Kubernetes",None,87,5,Night,Yes,Remote,Infosys,Retail,Negative,0,High,2134733,329062,Average,Entry-Level,Manager,Pune,Yes,Flexible Hours,Moderate,Weak,High,2024-12-23 17:53:29.688940,Clear,996.1577666666667
Pune,27,High,Analyst,Entry-Level,6,1147981,1975793,Master's Degree,"AWS, Docker, Kubernetes",Google Cloud Certified,44,0,Night,Yes,Offline,HCL,IT Services,Positive,7,Low,1960100,109440,Average,Entry-Level,Developer,Bangalore,No,Health Insurance,Limited,Stable,Moderate,2025-01-24 17:53:29.688940,Clear,911.3366666666667
Kolkata,15,High,Data Scientist,Senior-Level,2,1217266,2233903,Diploma,"AWS, Docker, Kubernetes",AWS Certified,67,5,Night,No,Hybrid,Cognizant,Healthcare,Negative,4,High,2802460,220213,Above Average,Mid-Level,Manager,Pune,No,Flexible Hours,Limited,Weak,Low,2025-01-04 17:53:29.688940,Ambiguous,923.4153333333334
Pune,41,Medium,Analyst,Mid-Level,2,1215177,1890130,PhD,"JavaScript, React",Google Cloud Certified,60,2,Day,Yes,Remote,Accenture,Banking,Negative,5,Low,2030372,464557,Above Average,Mid-Level,Team Lead,Kolkata,Yes,Flexible Hours,Limited,Weak,Moderate,2024-12-17 17:53:29.688940,Clear,826.6790666666667
Bangalore,26,Medium,Software Engineer,Senior-Level,1,948255,2032826,Master's Degree,"C++, Algorithms",PMP,45,2,Day,Yes,Hybrid,Cognizant,Banking,Negative,9,Low,2455356,408500,Below Average,Lead,Data Analyst,Munger,No,Flexible Hours,Excellent,Stable,High,2025-01-21 17:53:29.688940,Clear,1000.0
Munger,8,Low,Data Scientist,Mid-Level,9,804563,1546011,Master's Degree,"AWS, Docker, Kubernetes",Scrum Master,31,10,Night,Yes,Offline,HCL,Healthcare,Neutral,6,Low,454279,141579,Average,Entry-Level,Developer,Munger,No,Health Insurance,Excellent,Strong,High,2024-12-28 17:53:29.688940,Ambiguous,408.1426333333333
Chennai,33,High,Data Scientist,Entry-Level,3,1704980,1996025,Diploma,"C++, Algorithms",AWS Certified,18,6,Night,Yes,Offline,Cognizant,Consulting,Positive,6,Moderate,1856896,202233,Below Average,Lead,Manager,Bangalore,Yes,Health Insurance,Moderate,Strong,Moderate,2025-01-13 17:53:29.688940,Clear,697.8965333333333
Mumbai,48,Low,Project Manager,Mid-Level,2,1113317,1850615,PhD,"JavaScript, React",Google Cloud Certified,66,10,Flexible,Yes,Hybrid,HCL,Retail,Negative,3,Moderate,2109783,129960,Average,Lead,Data Analyst,Kolkata,No,Health Insurance,Moderate,Weak,Low,2025-01-20 17:53:29.688940,Clear,947.3261
Delhi,38,Low,Consultant,Senior-Level,4,1393136,2005953,Diploma,"JavaScript, React",PMP,3,8,Flexible,Yes,Hybrid,Accenture,IT Services,Negative,5,High,2409594,139451,Average,Mid-Level,Team Lead,Kolkata,Yes,Health Insurance,Limited,Stable,Low,2024-12-22 17:53:29.688940,Clear,400.3198
Darbhanga,17,Low,Project Manager,Mid-Level,6,1362189,1538417,PhD,"Python, SQL, ML",Google Cloud Certified,24,5,Flexible,Yes,Remote,Cognizant,Banking,Positive,7,High,2214129,23371,Above Average,Lead,Data Analyst,Pune,No,Flexible Hours,Moderate,Strong,Low,2024-12-13 17:53:29.688940,Clear,873.8043
Madanapalle,46,Low,Data Scientist,Senior-Level,1,1485735,1451687,PhD,"Python, SQL, ML",AWS Certified,72,11,Flexible,Yes,Hybrid,Accenture,Banking,Negative,5,Moderate,1973549,88733,Above Average,Lead,Developer,Chennai,No,Health Insurance,Limited,Weak,Low,2025-01-17 17:53:29.688940,Clear,535.7849666666666
Chennai,13,High,Data Scientist,Lead,9,1777493,2065893,Bachelor's Degree,"AWS, Docker, Kubernetes",PMP,20,13,Night,No,Offline,Accenture,Consulting,Negative,6,Low,1855018,260483,Average,Mid-Level,Manager,Kolkata,Yes,Stock Options,Limited,Weak,Low,2025-01-11 17:53:29.688940,Ambiguous,1000.0
Munger,46,Low,Consultant,Entry-Level,9,1367241,517949,Master's Degree,"C++, Algorithms",None,86,13,Flexible,No,Offline,Infosys,Healthcare,Negative,2,Moderate,1414391,471379,Average,Senior-Level,Team Lead,Madanapalle,Yes,Stock Options,Moderate,Weak,Moderate,2024-12-28 17:53:29.688940,Ambiguous,1000.0
Delhi,35,Medium,Analyst,Senior-Level,8,930856,1822459,PhD,"JavaScript, React",AWS Certified,88,0,Night,Yes,Hybrid,Infosys,Consulting,Neutral,8,Moderate,2352468,297395,Average,Senior-Level,Team Lead,Kolkata,No,Stock Options,Limited,Strong,Low,2024-12-24 17:53:29.688940,Ambiguous,1000.0
Chennai,11,Medium,Consultant,Lead,6,591766,489000,Diploma,"Java, Spring Boot",None,13,8,Night,No,Hybrid,Cognizant,IT Services,Negative,9,Low,2887561,322327,Below Average,Mid-Level,Data Analyst,Mumbai,No,Health Insurance,Moderate,Weak,Moderate,2025-01-02 17:53:29.688940,Ambiguous,773.2520333333333
Munger,8,Medium,Project Manager,Entry-Level,4,1706554,2337455,Diploma,"Python, SQL, ML",None,21,12,Day,Yes,Remote,Cognizant,Healthcare,Negative,1,High,1150677,158760,Average,Entry-Level,Data Analyst,Kolkata,Yes,Stock Options,Limited,Weak,Low,2024-12-17 17:53:29.688940,Clear,367.3559
Hyderabad,23,High,Analyst,Lead,2,1390565,2210103,Bachelor's Degree,"Python, SQL, ML",PMP,47,4,Flexible,Yes,Offline,Accenture,Banking,Positive,7,Moderate,2417202,365747,Above Average,Mid-Level,Team Lead,Pune,Yes,Health Insurance,Excellent,Strong,High,2025-01-10 17:53:29.688940,Clear,477.5734
Hyderabad,46,Low,Project Manager,Senior-Level,8,1917605,795632,Bachelor's Degree,"Java, Spring Boot",Google Cloud Certified,50,1,Night,No,Offline,Infosys,Banking,Positive,7,High,2465608,220461,Average,Lead,Developer,Bangalore,Yes,Flexible Hours,Limited,Stable,High,2024-12-14 17:53:29.688940,Clear,1000.0
Pune,34,High,Consultant,Entry-Level,7,1820492,1095796,Bachelor's Degree,"C++, Algorithms",Google Cloud Certified,79,2,Day,No,Offline,Cognizant,Retail,Neutral,1,Moderate,1476936,413058,Above Average,Senior-Level,Developer,Hyderabad,No,Health Insurance,Moderate,Weak,High,2025-01-08 17:53:29.688940,Clear,820.2312
Chennai,35,Low,Analyst,Lead,12,1893027,1336199,Master's Degree,"C++, Algorithms",Scrum Master,10,10,Day,Yes,Hybrid,Cognizant,IT Services,Positive,8,Moderate,442599,251998,Below Average,Mid-Level,Developer,Madanapalle,Yes,Health Insurance,Excellent,Weak,Low,2024-12-11 17:53:29.688940,Ambiguous,714.7533
Hyderabad,39,High,Consultant,Senior-Level,14,371637,2498381,Bachelor's Degree,"C++, Algorithms",AWS Certified,58,4,Night,Yes,Offline,Cognizant,Banking,Positive,2,High,1575796,210891,Below Average,Senior-Level,Data Analyst,Munger,Yes,Flexible Hours,Moderate,Weak,Moderate,2024-12-17 17:53:29.688940,Clear,485.5265333333333
Munger,25,High,Software Engineer,Lead,4,1407751,860282,Master's Degree,"AWS, Docker, Kubernetes",AWS Certified,13,11,Night,Yes,Hybrid,Infosys,Consulting,Neutral,9,High,2988183,490044,Below Average,Lead,Data Analyst,Madanapalle,Yes,Flexible Hours,Limited,Stable,High,2025-01-15 17:53:29.688940,Clear,482.60609999999997
Pune,35,Low,Data Scientist,Entry-Level,3,1058618,1166481,Bachelor's Degree,"AWS, Docker, Kubernetes",PMP,6,1,Flexible,Yes,Remote,Cognizant,Banking,Negative,5,Low,744000,306676,Below Average,Senior-Level,Team Lead,Madanapalle,Yes,Health Insurance,Limited,Strong,Moderate,2025-01-20 17:53:29.688940,Clear,618.8
Munger,23,High,Analyst,Entry-Level,6,555972,1884139,Master's Degree,"Java, Spring Boot",PMP,68,13,Flexible,No,Hybrid,Accenture,Consulting,Positive,3,Low,2802994,354622,Average,Entry-Level,Manager,Mumbai,Yes,Health Insurance,Moderate,Stable,Moderate,2024-12-22 17:53:29.688940,Clear,548.4331333333333
Pune,35,Low,Data Scientist,Entry-Level,1,1846376,661882,PhD,"JavaScript, React",Scrum Master,57,11,Night,No,Remote,Cognizant,Consulting,Positive,4,Moderate,1299860,193985,Above Average,Mid-Level,Data Analyst,Darbhanga,Yes,Stock Options,Moderate,Strong,High,2025-01-24 17:53:29.688940,Ambiguous,730.3286666666667
Chennai,36,Medium,Software Engineer,Senior-Level,2,1483123,1449939,Bachelor's Degree,"Java, Spring Boot",Scrum Master,39,12,Night,No,Remote,TCS,Healthcare,Neutral,2,Moderate,1663406,287956,Above Average,Senior-Level,Data Analyst,Madanapalle,No,Stock Options,Excellent,Weak,Low,2025-01-11 17:53:29.688940,Ambiguous,976.4468666666667
Delhi,6,Medium,Analyst,Lead,7,894547,1289238,Master's Degree,"JavaScript, React",None,80,13,Day,No,Hybrid,HCL,Healthcare,Positive,9,Low,1636885,35425,Below Average,Lead,Manager,Madanapalle,No,Flexible Hours,Excellent,Stable,High,2025-01-09 17:53:29.688940,Clear,699.5628333333334
Mumbai,14,Medium,Data Scientist,Lead,11,1625610,2451904,PhD,"Java, Spring Boot",Scrum Master,24,11,Day,Yes,Remote,Accenture,Banking,Positive,7,Low,1644060,313071,Above Average,Mid-Level,Manager,Mumbai,No,Health Insurance,Excellent,Weak,High,2025-01-01 17:53:29.688940,Clear,823.802
Kolkata,6,High,Data Scientist,Senior-Level,3,1502918,2475588,Bachelor's Degree,"AWS, Docker, Kubernetes",Google Cloud Certified,77,2,Day,No,Hybrid,Cognizant,Banking,Negative,9,Moderate,2811138,143161,Below Average,Lead,Data Analyst,Bangalore,No,Stock Options,Moderate,Strong,Moderate,2025-01-23 17:53:29.688940,Clear,866.7046
Delhi,6,Medium,Analyst,Entry-Level,14,1441965,1783573,PhD,"C++, Algorithms",None,41,7,Day,No,Offline,TCS,Consulting,Neutral,9,Low,2152496,466454,Above Average,Entry-Level,Developer,Madanapalle,Yes,Flexible Hours,Moderate,Weak,Low,2025-01-23 17:53:29.688940,Clear,1000.0
Bangalore,28,Low,Data Scientist,Mid-Level,13,767353,1976128,Bachelor's Degree,"Python, SQL, ML",Scrum Master,85,12,Day,No,Hybrid,Infosys,Healthcare,Negative,7,High,470936,100089,Below Average,Entry-Level,Team Lead,Delhi,Yes,Health Insurance,Moderate,Strong,High,2024-12-18 17:53:29.688940,Clear,414.69786666666664
Munger,21,Medium,Data Scientist,Entry-Level,1,627461,1157906,Diploma,"Java, Spring Boot",Google Cloud Certified,43,5,Flexible,Yes,Remote,Accenture,Banking,Negative,6,Moderate,974557,313107,Above Average,Entry-Level,Team Lead,Hyderabad,Yes,Stock Options,Moderate,Strong,Moderate,2025-01-10 17:53:29.688940,Ambiguous,378.4852333333333
Bangalore,36,Medium,Analyst,Mid-Level,2,645123,1246953,Master's Degree,"Java, Spring Boot",Google Cloud Certified,4,11,Day,Yes,Remote,Accenture,Healthcare,Negative,6,Moderate,1827658,120901,Average,Entry-Level,Data Analyst,Bangalore,Yes,Health Insurance,Moderate,Weak,Low,2025-01-12 17:53:29.688940,Ambiguous,414.92193333333336
Delhi,20,High,Data Scientist,Entry-Level,10,1731781,1219837,Diploma,"Python, SQL, ML",None,27,1,Night,Yes,Offline,Cognizant,IT Services,Neutral,1,Moderate,669186,365944,Average,Mid-Level,Data Analyst,Hyderabad,Yes,Flexible Hours,Limited,Stable,High,2024-12-24 17:53:29.688940,Clear,1000.0
Pune,20,Low,Data Scientist,Senior-Level,10,553154,1706802,Master's Degree,"Java, Spring Boot",None,75,1,Flexible,Yes,Hybrid,Infosys,Consulting,Positive,9,Moderate,2953772,495036,Average,Lead,Developer,Delhi,No,Flexible Hours,Limited,Weak,Low,2024-12-19 17:53:29.688940,Ambiguous,1000.0
Kolkata,43,High,Project Manager,Mid-Level,14,1217174,1825932,Diploma,"C++, Algorithms",Google Cloud Certified,59,0,Day,Yes,Offline,Cognizant,Healthcare,Negative,5,High,2528472,285230,Average,Lead,Developer,Kolkata,Yes,Flexible Hours,Limited,Stable,Moderate,2024-12-23 17:53:29.688940,Ambiguous,435.2824
Kolkata,35,High,Project Manager,Senior-Level,9,1334501,1888762,Bachelor's Degree,"Python, SQL, ML",PMP,76,6,Day,No,Remote,TCS,Banking,Neutral,3,Low,2341625,310111,Below Average,Lead,Data Analyst,Kolkata,No,Stock Options,Excellent,Strong,Low,2025-01-09 17:53:29.688940,Ambiguous,525.0541666666667
